wazuh.indexer-1  | [2026-05-05T12:29:48,389][INFO ][o.o.m.e.i.MLIndicesHandler] [wazuh.indexer] create index:.plugins-ml-config
wazuh.indexer-1  | [2026-05-05T12:29:48,538][INFO ][o.o.m.c.MLSyncUpCron     ] [wazuh.indexer] ML configuration initialized successfully
wazuh.indexer-1  | [2026-05-05T12:29:53,259][INFO ][o.o.p.PluginsService     ] [wazuh.indexer] PluginService:onIndexModule index:[wazuh-monitoring-2026.19w/cvc54gH7TJW_OC4TWxDWbw]
wazuh.indexer-1  | [2026-05-05T12:29:53,306][INFO ][o.o.c.m.MetadataCreateIndexService] [wazuh.indexer] [wazuh-monitoring-2026.19w] creating index, cause [api], templates [wazuh-agent], shards [1]/[0]
wazuh.indexer-1  | [2026-05-05T12:29:53,603][INFO ][o.o.p.PluginsService     ] [wazuh.indexer] PluginService:onIndexModule index:[wazuh-monitoring-2026.19w/cvc54gH7TJW_OC4TWxDWbw]
wazuh.indexer-1  | [2026-05-05T12:29:53,699][INFO ][o.o.c.r.a.AllocationService] [wazuh.indexer] Cluster health status changed from [YELLOW] to [GREEN] (reason: [shards started [[wazuh-monitoring-2026.19w][0]]]).
wazuh.indexer-1  | [2026-05-05T12:29:53,898][INFO ][o.o.c.m.MetadataUpdateSettingsService] [wazuh.indexer] updating number_of_replicas to [0] for indices [wazuh-monitoring-2026.19w]
wazuh.indexer-1  | [2026-05-05T12:29:59,143][INFO ][o.o.p.PluginsService     ] [wazuh.indexer] PluginService:onIndexModule index:[FwaHuumnRBSlMcWX5ZwPEA/8wtg0TBTTj-j3wcchTlBYg]
wazuh.indexer-1  | [2026-05-05T12:29:59,341][INFO ][o.o.c.m.MetadataIndexTemplateService] [wazuh.indexer] adding template [wazuh] for index patterns [wazuh-alerts-4.x-*, wazuh-archives-4.x-*]
wazuh.indexer-1  | [2026-05-05T12:29:59,638][INFO ][o.o.p.PluginsService     ] [wazuh.indexer] PluginService:onIndexModule index:[wazuh-alerts-4.x-2026.05.05/9slXYN4iSAeNpMYllItvNg]
wazuh.indexer-1  | [2026-05-05T12:29:59,759][INFO ][o.o.c.m.MetadataCreateIndexService] [wazuh.indexer] [wazuh-alerts-4.x-2026.05.05] creating index, cause [auto(bulk api)], templates [wazuh], shards [3]/[0]
wazuh.indexer-1  | [2026-05-05T12:29:59,915][INFO ][o.o.p.PluginsService     ] [wazuh.indexer] PluginService:onIndexModule index:[wazuh-alerts-4.x-2026.05.05/9slXYN4iSAeNpMYllItvNg]
wazuh.indexer-1  | [2026-05-05T12:30:00,101][INFO ][o.o.p.PluginsService     ] [wazuh.indexer] PluginService:onIndexModule index:[validate-template-wt8_2elbrrills5rkkfzia/5cGuOHW0QxeaSs2MJfivGw]
wazuh.indexer-1  | [2026-05-05T12:30:00,140][INFO ][o.o.c.m.MetadataIndexTemplateService] [wazuh.indexer] adding index template [wazuh-states-inventory-packages-wazuh.manager_template] for index patterns [wazuh-states-inventory-packages*]
